municipio;codigo_ibge;tipo_captacao;nome_sistema;latitude;longitude;fonte;observacao
Cuiabá;5103403;subterraneo;P.T. 19;-15.657000;-55.974000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 27;-15.650000;-55.973000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 24;-15.654000;-55.980000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 109;-15.053000;-55.984000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 30;-15.655000;-55.988000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 32;-15.657000;-55.983000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 41;-15.650000;-55.994000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 23;-15.638000;-56.007000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 29;-15.649000;-55.976000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 118;-15.649000;-55.982000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 108;-15.628000;-55.949000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 22;-15.643000;-56.006000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 13;-15.343000;-56.011000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 14;-15.638000;-56.011000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 03;-15.641000;-55.979000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 70;-15.542000;-56.031000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 71;-15.543000;-56.033000;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 92;-15.611133;-56.983294;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T.01 NILCE BARRETO;-17.114722;-58.002500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;PT 01 A. DO PARQUE I;-15.686111;-56.436111;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 04 AGUAS CLARAS;-15.647222;-55.994722;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Nossa Senhora do Livramento;5106109;subterraneo;Ponto 8;-15.778992;-56.351914;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T.02 ALICE NOVACK;-16.268889;-57.058889;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 188;-15.533056;-56.032500;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
Cuiabá;5103403;subterraneo;P.T. 191;-15.826389;-57.413056;SISAGUA;cadastro pontos de captação Dados Abertos SUS · ano 2014
