codigo_inep;nome;municipio;codigo_ibge;dependencia;localizacao;situacao;latitude;longitude;fonte;observacao
;UNIC Beira Rio;Cuiabá;5103403;;;em_atividade;-15.623185;-56.087490;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Faculdade de Administração e Ciências Contábeis - FACC;;;;;em_atividade;-15.614226;-56.070619;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Gnosis Cuiabá;;;;;em_atividade;-15.594492;-56.102076;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Polícia Militar Tiradentes;;;;;em_atividade;-15.551146;-56.053807;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual André Avelino Ribeiro;;;;;em_atividade;-15.556115;-56.052610;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Ana Maria de Couto;;;;;em_atividade;-15.559100;-56.048787;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Djalma Ferreira de Souza;;;;;em_atividade;-15.571578;-56.064129;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Doutor Leônidas Antero de Matos;;;;;em_atividade;-15.570935;-56.045738;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual;;;;;em_atividade;-15.565318;-56.046093;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual;;;;;em_atividade;-15.560463;-56.047424;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;E.E Leovegildo de Melo;;;;;em_atividade;-15.571894;-56.035535;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Gustavo Kulmann;Cuiabá;5103403;;;em_atividade;-15.598364;-56.109264;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual José Magno;;;;;em_atividade;-15.590866;-56.116253;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professora Marcelina de Campos;;;;;em_atividade;-15.592239;-56.137825;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Alcebíades Calhao;;;;;em_atividade;-15.586141;-56.103602;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Dom José do Despraiado;;;;;em_atividade;-15.575216;-56.093387;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual André Luis da Silva Reis;;;;;em_atividade;-15.584669;-56.083244;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Coronel Antonio Paes de Barros;Barão de Melgaço;5101605;government;;em_atividade;-16.195218;-55.965429;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;IFMT Várzea Grande;Várzea Grande;5108402;;;em_atividade;-15.603715;-56.176938;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;IFMT Bela Vista;Cuiabá;5103403;;;em_atividade;-15.579687;-56.062107;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Eliane Digigov;Cuiabá;5103403;;;em_atividade;-15.580656;-56.058213;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Plural Centro Educacional;Cuiabá;5103403;;;em_atividade;-15.560030;-56.090312;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Monteiro Lobato;;;;;em_atividade;-15.461959;-55.741424;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Professora Abinel Freitas Pereira;Chapada dos Guimarães;5103007;;;em_atividade;-15.448243;-55.741699;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Rafael de Siqueira;Chapada dos Guimarães;5103007;;;em_atividade;-15.460818;-55.750457;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Professora Tereza Conceição de Arruda;;;;;em_atividade;-15.868311;-56.410331;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.467078;-55.735743;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Ana Tereza de Albernaz;;;;;em_atividade;-15.467346;-55.735815;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;OSM school;;;;;em_atividade;-15.467254;-55.735479;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Ana Tereza de Albernaz;Chapada dos Guimarães;5103007;;;em_atividade;-15.467430;-55.735795;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Centro Educacional Nuvem de Algodão;;;;;em_atividade;-15.580582;-56.100489;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Municipal Cida Mouzard;;;;;em_atividade;-14.779675;-57.277655;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;Escola Estadual Wilson de Almeida;;;;;em_atividade;-14.784591;-57.290201;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
;ETE Buriti;;;;;em_atividade;-15.415905;-55.808147;OSM;Fallback espacial — preferir microdados INEP quando o download estiver disponível
