id_snisb;nome;municipio;n_ok;n_atencao;n_nao;n_lacuna;n_lacunas_criticas;pae_01;pae_04_zas
31665;Barramento Fazenda Sossego 2;Nova Mutum;0;0;2;6;8;lacuna;lacuna
35185;Barramento Fazenda São Luiz;Água Boa;0;0;2;6;8;lacuna;lacuna
26570;Barramento Fazenda Trabuco;Poconé;0;0;2;6;8;lacuna;lacuna
31568;Barramento Fazenda Vera Cruz;Barra do Garças;0;0;2;6;8;lacuna;lacuna
35534;Barramento Fazenda Água Azul II;Sorriso;0;0;2;6;8;lacuna;lacuna
35135;Barramento Green Fish;Paranaíta;0;0;2;6;8;lacuna;lacuna
36409;Barramento I;Gaúcha do Norte;0;0;2;6;8;lacuna;lacuna
331;Barramento I (montante)  Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
330;Barramento I (montante) ?  Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
34580;Barramento I - Fazenda Recanto;Tabaporã;0;0;2;6;8;lacuna;lacuna
36365;Barramento I - Fazenda Três Coqueiros;Brasnorte;0;0;2;6;8;lacuna;lacuna
31360;Barramento I - Rio Fontoura Agropecuária;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
36618;Barramento I ? Fazenda Caetetu;Sapezal;0;0;2;6;8;lacuna;lacuna
36622;Barramento I ? Fazenda Froes;Denise;0;0;2;6;8;lacuna;lacuna
36518;Barramento I ? Fazenda Ponte de Pedra;Torixoréu;0;0;2;6;8;lacuna;lacuna
34995;Barramento I – Fazenda Futura;Nova Ubiratã;0;0;2;6;8;lacuna;lacuna
29579;Barramento II;Confresa;0;0;2;6;8;lacuna;lacuna
35225;Barramento II (Montante) - Fazenda Progresso;Tabaporã;0;0;2;6;8;lacuna;lacuna
35391;Barramento II (Montante) - Fazenda Rancho Alegre;Vila Bela da Santíssima Trindade;0;0;2;6;8;lacuna;lacuna
31000;Barramento II - Fazenda Cabeceira;Ipiranga do Norte;0;0;2;6;8;lacuna;lacuna
28620;Barramento II - Fazenda Cascata;Ipiranga do Norte;0;0;2;6;8;lacuna;lacuna
34554;Barramento II - Fazenda Fiorese I;Feliz Natal;0;0;2;6;8;lacuna;lacuna
31779;Barramento II - Fazenda Gravataí;Itiquira;0;0;2;6;8;lacuna;lacuna
36519;Barramento II - Fazenda Ponte de Pedra;Torixoréu;0;0;2;6;8;lacuna;lacuna
36004;Barramento II - Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
36366;Barramento II - Fazenda Três Coqueiros;Brasnorte;0;0;2;6;8;lacuna;lacuna
36332;Barramento II ? Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
36493;Barramento II Fazenda Espigão do Leste;São Félix do Araguaia;0;0;2;6;8;lacuna;lacuna
36650;Barramento II Fazenda Água Cristalina;Serra Nova Dourada;0;0;2;6;8;lacuna;lacuna
36005;Barramento III (montante) ? Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
35197;Barramento III - Fazenda Cruzeiro ? Montante II;General Carneiro;0;0;2;6;8;lacuna;lacuna
35477;Barramento III - Fazenda São José I;Rosário Oeste;0;0;2;6;8;lacuna;lacuna
36367;Barramento III - Fazenda Três Coqueiros;Brasnorte;0;0;2;6;8;lacuna;lacuna
36642;Barramento III ? Fazenda Froes;Denise;0;0;2;6;8;lacuna;lacuna
35250;Barramento III Fazenda Cocal;Canarana;0;0;2;6;8;lacuna;lacuna
36520;Barramento III- Fazenda Ponte de Pedra;Torixoréu;0;0;2;6;8;lacuna;lacuna
36335;Barramento III? Fazenda São Domingos;Primavera do Leste;0;0;2;6;8;lacuna;lacuna
35728;Barramento Jerusalém;Porto dos Gaúchos;0;0;2;6;8;lacuna;lacuna
36612;Barramento Juruena;Juruena;0;0;2;6;8;lacuna;lacuna
33943;Barramento Juína - Montante;Juína;0;0;2;6;8;lacuna;lacuna
33942;Barramento Juína - Principal;Juína;0;0;2;6;8;lacuna;lacuna
33944;Barramento Juína – Montante 2;Juína;0;0;2;6;8;lacuna;lacuna
32067;Barramento Lagoa da Garça;Juína;0;0;2;6;8;lacuna;lacuna
35130;Barramento MONTANTE;Sorriso;0;0;2;6;8;lacuna;lacuna
35131;Barramento MONTANTE 2;Sorriso;0;0;2;6;8;lacuna;lacuna
31785;Barramento Montante;Tapurah;0;0;2;6;8;lacuna;lacuna
35230;Barramento Montante - Fazenda Juliana;Sorriso;0;0;2;6;8;lacuna;lacuna
31577;Barramento Montante Fazenda Carajas  - Lote 64;Lucas do Rio Verde;0;0;2;6;8;lacuna;lacuna
35128;Barramento PRINCIPAL;Sorriso;0;0;2;6;8;lacuna;lacuna
8166;Barramento Principal - Fazenda Estância Bahia II;Água Boa;0;0;2;6;8;lacuna;lacuna
36577;Barramento Principal ? Fazenda Celentano;Porto dos Gaúchos;0;0;2;6;8;lacuna;lacuna
32449;Barramento Principal – Fazenda Jaó;Nova Xavantina;0;0;2;6;8;lacuna;lacuna
36539;Barramento Pé de Pequi I;Chapada dos Guimarães;0;0;2;6;8;lacuna;lacuna
36574;Barramento Rancho Grande;Indiavaí;0;0;2;6;8;lacuna;lacuna
35856;Barramento Salinas 2;Nossa Senhora do Livramento;0;0;2;6;8;lacuna;lacuna
35001;Barramento Santa Rita;Porto dos Gaúchos;0;0;2;6;8;lacuna;lacuna
35760;Barramento Santa Rita;São José do Povo;0;0;2;6;8;lacuna;lacuna
8043;Barramento Sede;Sorriso;0;0;2;6;8;lacuna;lacuna
37418;Barramento Sítio Nossa Senhora Aparecida;Tangará da Serra;0;0;2;6;8;lacuna;lacuna
35124;Barramento Sítio Recanto da Natureza;Sinop;0;0;2;6;8;lacuna;lacuna
