id_snisb;nome;municipio;orgao_fiscalizador;empreendedor;curso_dagua;codigo_trecho_curso_dagua;relacao_com_cuiaba;categoria_risco;dano_potencial_associado;classe_cnrh;altura_m;capacidade_hm3;uso_principal;fase_de_vida;possui_plano_de_seguranca;possui_pae;data_ultima_inspecao;latitude;longitude
34731;Barragem 2  Principal;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Cidade Jardim Incorporações de Empreendimentos Imobiliários Ltda.;Rio Bandeira;8965754;montante;Médio;Baixo;D;4.0;0.12;Paisagismo;Operação;Não;;;-15.46408333300002;-56.060916667000015
8006;VALE DOURADO;Rosário Oeste;Agência Nacional de Mineração - ANM;Marcir Norberto Weber;Ribeirão da Cutia;8965956;montante;Médio;Baixo;D;8.0;0.117;Contenção de rejeitos de mineração;Operação;Não;;;-14.84354166700001;-56.562963889
36690;Barragem II - Fazenda Pouso da Garça;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;BOLIVAR PUFAL JUNIOR;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;4.14;0.109;Paisagismo;Operação;Não;;;-15.461555556000008;-56.16877777799999
36691;Barragem III - Fazenda Pouso da Garça;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;BOLIVAR PUFAL JUNIOR;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;5.42;0.105;Paisagismo;Operação;Não;;;-15.459805555999992;-56.169666667
32261;Represa da Estrada;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Dorismar Rodrigues dos Santos;Ribeirão Dois Córregos;89657542;montante;Médio;Médio;C;5.1;0.1;Aquicultura;Operação;Não;;;-15.358749999999986;-56.10994444400001
20047;Fazenda Murici Sesmaria Molhado;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;MARIO ARDENES DIAS RIBEIRO;Rio Jangada;89658992;montante;Não Classificado;Baixo;;4.0;0.091;Aquicultura;Operação;Não;;;-15.661277777999999;-56.81552777799999
34733;BARRAGEM 2 SUPERIOR;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Cidade Jardim Incorporações de Empreendimentos Imobiliários Ltda.;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;3.53;0.086;Paisagismo;;Não;;;-15.461444443999994;-56.056833332999986
7993;Faz. Cabeça Branca - Barragem 02;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Córrego Taquara;8965896;montante;Não se Aplica;Baixo;;6.0;0.086;Aquicultura;Operação;Não;;;-15.58499999999998;-56.817999999999984
35136;Barramento 4;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Rio Bandeira;8965754;montante;Baixo;Baixo;E;6.0;0.082;Paisagismo;Operação;Não;;;-15.488972221999973;-56.16788888899998
35180;Barramento 7;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;6.0;0.074;Paisagismo;Operação;Não;;;-15.495166666999978;-56.17786111100003
36516;Barramento 3;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Rio Bandeira;8965754;montante;Não Classificado;Baixo;;5.0;0.072;Paisagismo;Projeto;Não;;;-15.487500000000011;-56.16655555599999
27626;Barragem - Valdenir;Nossa Senhora do Livramento;Agência Nacional de Mineração - ANM;CLAUDIO HENRIQUE TEODORO DE ALMEIDA;Córrego Tarumã;8965742;montante;Médio;Baixo;D;14.68;0.072;Contenção de rejeitos de mineração;Operação;Não;;;-15.621726943999988;-56.275935833000005
7990;Faz. Cabeça Branca - Barragem 05;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Córrego Taquara;8965896;montante;Não se Aplica;Baixo;;2.3;0.067;Aquicultura;Operação;Não;;;-15.576000000000022;-56.81900000000002
35116;Barragem XVIII;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Ribeirão dos Peixes;8965898;montante;Médio;Baixo;D;5.7;0.061;Aquicultura;Operação;Não;;;-15.605999999999995;-56.791805555999986
32421;Barragem 03 – Fazenda 3 Irmãos;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Dorismar Rodrigues dos Santos;Ribeirão Dois Córregos;89657542;montante;Médio;Médio;C;6.59;0.05;Aquicultura;Operação;Não;;;-15.36069444399999;-56.104166667000015
35231;Fazenda Jangada Agropastoril - Barragem a montante;Jangada;MT - Secretaria de Estado do Meio Ambiente - SEMA;Jangada Agropastoril Ltda.;Rio Jangada;89658;montante;Baixo;Baixo;E;5.65;0.05;Recreação;Operação;Não;;;-15.256111110999996;-56.516055556000026
20177;Faz. Carvalho;Nobres;MT - Secretaria de Estado do Meio Ambiente - SEMA;ANTONIO SILVA DE CARVALHO;Rio das Pacas;896634;montante;Não Classificado;Baixo;;5.0;0.05;Aquicultura;Operação;Não;;;-14.616833332999988;-55.92416666700001
21935;córrego Sapateiro;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;INBESP – IND. E BENEF. DE SUBPROD. DE ORIGEM ANIMAL LTDA;Rio Pari;896574;montante;Não Classificado;Baixo;;7.0;0.048;Industrial;Operação;Não;;;-15.623777777999976;-56.21580555600002
35102;Barragem XVII;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Rio Jangada;89658;montante;Médio;Baixo;D;4.9;0.047;Aquicultura;Operação;Não;;;-15.589777777999984;-56.781361111000024
35108;Barragem VI (montante);Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;SILMAR DE SOUZA GONÇALVEZ;Córrego Fura Mato;8965882;montante;Médio;Baixo;D;3.2;0.046;Aquicultura;Operação;Não;;;-15.620166666999978;-56.77116666699999
4931;PCH Casca II - B01 - CASCA I;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;APIACAS ENERGIA S.A.;Rio da Casca;89694;montante;Baixo;Baixo;E;6.0;0.043;Hidroelétrica;Operação;Não;;;-15.364199999999983;-55.43470000000002
20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;Agência Nacional de Energia Elétrica - ANEEL;APIACAS ENERGIA S.A.;Rio da Casca;89694;montante;Baixo;Baixo;E;3.0;0.043;Hidroelétrica;Operação;Não;;;-15.364199999999983;-55.43470000000002
35181;Barramento 6;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;São Benedito Urbanismo LTDA;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;4.0;0.038;Paisagismo;Operação;Não;;;-15.492583333000027;-56.176888889
20138;Fazenda Santa Luzia;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;RENATO CUSTÓDIO PINTO;Ribeirão Esmeril;8965756;montante;Não Classificado;Baixo;;6.0;0.037;Aquicultura;Operação;Não;;;-15.53022222200002;-56.28472222200003
20141;Chapéu do Sol;Várzea Grande;MT - Secretaria de Estado do Meio Ambiente - SEMA;JUAREZ DUCTIEVICZ;Rio Pari;896574;montante;Não Classificado;Baixo;;8.0;0.035;Aquicultura;Operação;Não;;;-15.602666666999994;-56.18541666700003
37396;Solimões Indústria e Comércio de Óleos e Proteínas Ltda ? Barragem I;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;Solimões Indústria e Comércio de Óleos e Proteínas Ltda;Rio Pari;896574;montante;Médio;Baixo;D;4.27;0.034;Dessedentação Animal;Operação;Não;;;-15.623416667000015;-56.21583333299998
35147;Fazenda Curió - Barramento 3;Rosário Oeste;MT - Secretaria de Estado do Meio Ambiente - SEMA;VALDIR DAROIT;Ribeirão Grande;896592;montante;Médio;Baixo;D;3.41;0.029;Paisagismo;Operação;Não;;;-15.09997222200002;-56.529027778
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;MT - Secretaria de Estado do Meio Ambiente - SEMA;Dorismar Rodrigues dos Santos;Ribeirão Dois Córregos;89657542;montante;Médio;Baixo;D;5.1;0.028;Aquicultura;Operação;Não;;;-15.358749999999986;-56.10994444400001
7989;Faz. Cabeça Branca - Barragem 06;Nossa Senhora do Livramento;MT - Secretaria de Estado do Meio Ambiente - SEMA;ERALDO COIADO;Córrego Taquara;8965896;montante;Não se Aplica;Baixo;;2.3;0.025;Aquicultura;Operação;Não;;;-15.576999999999998;-56.821000000000026
