id_snisb;nome_powerbi;municipio_powerbi;comprimento_coroamento_m;altura_estimada_m;capacidade_estimada_m3;data_ultima_fiscalizacao;data_ultima_autuacao;data_inicio_fase_de_vida;data_inspecao_seguranca_regular;tipo_empreendedor;corpo_hidrico;data_atualizacao_registro;situacao_cadastro
26164;Bacia Grota da Onça;PONTES E LACERDA;980;0;0;2023-02-15;2023-01-31;2022-01-03;;Pessoa Física;Córrego Lavrinha;;Classe II B - Inertes
26169;Barragem Jauru;São José dos Quatro Marcos;741.2;0;0;;;2026-01-18;;;Rio Jauru;2026-04-09;Classe II B - Inertes
26171;MULTI 1;NOSSA SENHORA DO LIVRAMENTO;480;0;0;;;2022-09-30;;Pessoa Física;Córrego Tarumã;2025-11-26;Classe II B - Inertes
26229;Fazenda Eduina Teresa;SORRISO;158;0;0;;;;;Empresas em Geral - Privado;SEM NOME;2025-03-31;
26231; VALE GOLD;NOSSA SENHORA DO LIVRAMENTO;;0;0;;;2022-07-19;;;Ribeirão Bento Gomes;2025-02-04;
26234;BARRAGEM BLOCO  SUL;NOVA SANTA HELENA;5;0;0;;;2016-02-01;;Pessoa Física;Rio do Pombo;2025-11-26;Classe II B - Inertes
26235;BARRAGEM COOP 01;NOSSA SENHORA DO LIVRAMENTO;277;0;0;;;2021-08-09;;;Córrego Barbeiro;2025-11-24;Classe II B - Inertes
26236;Barragem Fazenda Aguassu;NOSSA SENHORA DO LIVRAMENTO;778.85;0;0;;;2022-11-08;;;Córrego Barbeiro;2025-11-24;Classe II B - Inertes
26239;Barragem Torio 01;PARANAÍTA;90.16;0;0;;;2020-11-18;;;SEM NOME;2025-11-26;Classe II B - Inertes
26240;BP-01;NOSSA SENHORA DO LIVRAMENTO;504.5;0;0;;;2020-03-16;;;SEM NOME;2025-11-24;Classe II B - Inertes
26241;BP-02;NOSSA SENHORA DO LIVRAMENTO;379;0;0;;;2020-03-16;;;SEM NOME;2025-11-24;Classe II B - Inertes
26251;FAZENDA 4M;NOSSA SENHORA DO LIVRAMENTO;1495;0;0;2023-06-15;2021-04-13;2005-05-10;;Pessoa Física;Bacia RB Mineração;;Classe II B - Inertes
26254;Neta;NOSSA SENHORA DO LIVRAMENTO;500;0;0;2026-06-20;2023-11-07;2020-09-15;;;Córrego do Cervo;2025-11-24;Classe I – Perigosos
26261;SR.PEDRINHO;PONTES E LACERDA;150;0;0;2024-03-19;;2022-09-05;;;CÓRREGO BARREIRO;;Classe II B - Inertes
26265;BRAVO II;VÁRZEA GRANDE;;0;0;;;2022-07-19;;;Ribeirão Espinheiro;;
26266;Serra;VILA BELA DA SANTÍSSIMA TRINDADE;;0;0;;;2022-07-19;;;SEM NOME;;
26267;Tadeu;NOSSA SENHORA DO LIVRAMENTO;;0;0;;;2022-07-19;;Pessoa Física;SEM NOME;;
26328;Fazenda Água Boa;POXORÉU;85;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Ribeirão Sangradourozinho;2026-02-04;
26331;Prefeitura Municipal de Nova Santa Helena;NOVA SANTA HELENA;140;0;0;;;1800-01-01T00:00:00;;Órgãos - Público;SEM NOME;2025-12-18;
26332;Fazenda Vila Rica I;VILA RICA;693;0;0;;;1800-01-01T00:00:00;;Empresas em Geral - Privado;SEM NOME;2025-01-31;
26333;PREFEITURA MUNICIPAL DE CONFRESA;CONFRESA;0;0;0;;;2015-07-22;;Órgãos - Público;SEM NOME;2025-12-18;
26334;Associação dos Trabalhadores Rurais do Projeto de Assentamento Mãe Maria Núcleo Imbu e Vizinhos - ITOG;SÃO FÉLIX DO ARAGUAIA;200;0;0;;;1800-01-01T00:00:00;;Outros - Privado;SEM NOME;2025-12-18;
26335;Barramento - Fazenda Guapeva;BOM JESUS DO ARAGUAIA;345;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-12-29;
26401;Barragem Principal na Fazenda Campo Claro;RIBEIRÃO CASCALHEIRA;255.63;0;0;;;2024-06-24;;Pessoa Física;SEM NOME;2026-02-04;
26442;Fazenda Cristalina;CAMPO VERDE;179;0;0;;;1800-01-01T00:00:00;;Empresas em Geral - Privado;SEM NOME;2024-10-03;
26448;Barragem 1 - PREFEITURA MUNICIPAL DE CAMPO VERDE;CAMPO VERDE;153;0;0;2024-08-22;;2022-11-24;;Órgãos - Público;SEM NOME;2025-12-19;
26532;ÁGUAS DE PRIMAVERA LTDA;PRIMAVERA DO LESTE;50;0;0;;;2014-06-20;;Outros - Privado;Cabeceira das Traíras;;
26533;Fazenda Nossa Senhora Aparecida;NOVA UBIRATÃ;176;0;0;;;2018-09-17;;Pessoa Física;Barragem 152/2012;;
26534;Fazenda KM;CUIABÁ;50;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
26535;Fazenda Nossa Senhora Aparecida;NOVA UBIRATÃ;105;0;0;;;2016-11-04;;Pessoa Física;Córrego do Pato Branco;;
26536;SAAF;NOSSA SENHORA DO LIVRAMENTO;135;0;0;;;2021-10-29;;;SEM NOME;2025-12-18;
26537;Gilmar Mioranza;NOVA SANTA HELENA;370.12;0;0;;;2023-10-19;;Pessoa Física;SEM NOME;2024-10-04;
26538;Sitio Pirapora;NOSSA SENHORA DO LIVRAMENTO;490;0;0;;;2021-10-01;;Pessoa Física;Rio Pari;;
26539;FRIGOPESCA PSICULTURA E FRIGORÍFICO LTDA-EPP;Poconé;270;0;0;;;1800-01-01T00:00:00;;Empresas em Geral - Privado;Ribeirão Bento Gomes;;
26570;Barramento Fazenda Trabuco;Poconé;208;0;0;;;2024-05-16;;Pessoa Física;Ribeirão Bento Gomes;2024-10-03;
26629;Diego;Poconé;900;0;0.883;;;2022-03-09;;;Córrego Guanandi;2026-02-26;
26632;Córrego Tonto;TABAPORÃ;269.25;0;0;;;;;Pessoa Física;Córrego Tonto;2024-10-04;
26655;Fazenda Bacurí;ARENÁPOLIS;115.35;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Córrego Mirassol;;
26669;Fazenda Nove de Julho;BRASNORTE;0;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
26670;BURITI;DENISE;0;0;0;;;;;;CÓRREGO BURITI;2025-01-27;
26671;BARRAGEM 2;NOSSA SENHORA DO LIVRAMENTO;0;0;0;;;;;;Ribeirão Bento Gomes;;
26672;Faz São Paulo;BARRA DO BUGRES;0;0;0;;;;;Empresas em Geral - Privado;Ribeirão Queimado;;
26673;Galerinha;VILA BELA DA SANTÍSSIMA TRINDADE;;0;0;;;1800-01-01T00:00:00;;;Rio Galerinha;;
27277;Fazenda Jauquara;BARRA DO BUGRES;170;0;0;;;;;Pessoa Física;Córrego das Onças;;
27278;Fazenda Copacabana;POXORÉU;200;0;0;;;;;Pessoa Física;rio Cabeceira da Gordura;2024-09-30;
27283;Fazenda Santa Regina;IPIRANGA DO NORTE;129;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
27292;Fazenda Novo Campo;CAMPO NOVO DO PARECIS;125.46;0;0;;;1800-01-01T00:00:00;;Pessoa Física;córrego da Fé;2025-03-14;
27354;Fazenda Taguá I - Barragem II;VERA;87.83;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
27373;Fazenda Estrela;BARRA DO BUGRES;131.35;0;0;;;1800-01-01T00:00:00;;Pessoa Física;córrego sem denominação;2024-10-08;
27377;Fazenda Tereré;TAPURAH;123;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2024-10-08;
27403;Fazenda Fortaleza;ARENÁPOLIS;106;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Córrego Boa Esperança;2024-10-08;
27404;Barragem Ramax;NOVO HORIZONTE DO NORTE;120;0;0;;;1800-01-01T00:00:00;;Empresas em Geral - Privado;SEM NOME;2024-10-08;
27405;Fazenda Taguá I;VERA;133.21;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
27508;Fazenda Nandico;VERA;49.51;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Rio Celeste;2024-10-08;
27548;BIG BERION;PONTES E LACERDA;840;0;0;2025-10-14;;2021-11-25;;;CÓRREGO BARREIRO;2025-12-12;Classe II B - Inertes
27549;Novo Astro I;NOVA BANDEIRANTES;;0;0;;;2022-07-19;;;SEM NOME;;
27570;BR ÁGUIA DO SOL;Santo Antônio de Leverger;858;0;0;;;2022-08-18;;;Rio Aricá-açu;2025-11-12;Classe II B - Inertes
27571;Santa Bárbara;NOSSA SENHORA DO LIVRAMENTO;790;0;0;;;2022-05-15;;Pessoa Física;Córrego Santa Bárbara;2025-11-26;Classe II B - Inertes
27572;LIPINISKY;CARLINDA;443;0;0;;;2017-05-14;;;SEM NOME;2025-11-24;Classe II B - Inertes
27573;STC03;Poconé;1185;0;0;;;2022-04-28;;Pessoa Física;Córrego da Formiga;2025-11-24;Classe II B - Inertes
276;Santa Juliana II;CAMPO VERDE;196;;;;;1996-06-11;;Empresas em Geral - Privado;Barragem Erai Maggi Scheffer 1;2026-02-04;
27619;MD-01;NOVA LACERDA;684.14;0;0;;;2024-02-08;;;SEM NOME;2025-11-24;Classe II B - Inertes
27620;BARRAGEM DE MINERAÇÃO;NOSSA SENHORA DO LIVRAMENTO;315;0;0;;;2022-10-26;;;Ribeirão Cocaes;2025-11-24;Classe II B - Inertes
27623;PURO OURO;CUIABÁ;545;0;0;;;2010-07-10;;Pessoa Física;SEM NOME;2025-11-12;Classe II B - Inertes
27624;Barragem_Valdenir2;NOSSA SENHORA DO LIVRAMENTO;62.57;0;0;;;2019-09-02;;Pessoa Física;Córrego Tarumã;2025-11-25;Classe II B - Inertes
27626;Barragem - Valdenir;NOSSA SENHORA DO LIVRAMENTO;116;0;0;;;2017-05-15;;Pessoa Física;Córrego Tarumã;2025-11-24;Classe II B - Inertes
27627;Barragem Novo Astro;NOVA BANDEIRANTES;;0;0;;;2022-07-19;;;SEM NOME;;
27628;TARUMÃ II;Poconé;950;0;0;;;2022-02-01;;;Córrego Fundo;2026-04-09;Classe II B - Inertes
277;Santa Juliana I;CAMPO VERDE;243;;;2024-05-15;;2000-07-22;;Empresas em Geral - Privado;SEM NOME;2026-02-04;
27745;Fazenda Boitanga;Tangará da Serra;;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2024-10-08;
27753;Barragem B9;SANTA CRUZ DO XINGU;112.25;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-02-19;
27780;Palmital Grande;DENISE;321.98;0;0;;;1800-01-01T00:00:00;;;Córrego Palmital Grande;2024-10-08;
278;Fazenda Santo Antonio 3;CAMPO VERDE;190;;;;;1996-06-11;;Empresas em Geral - Privado;Barragem Erai Maggi Scheffer 3;2024-12-23;
27881;Fazenda Santa Fé;SANTA CRUZ DO XINGU;103;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;;
27882;Tanque Fundo;NOSSA SENHORA DO LIVRAMENTO;1864.43;0;0;2022-01-27;2022-01-31;2013-08-08;;Pessoa Física;Rio Santana;2025-11-24;Classe II B - Inertes
27890;Sitio Morada das Rosas;Tangará da Serra;64.5;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2025-01-24;
27896;BARBA;Poconé;522.7;0;0;;;2023-06-29;;;Córrego Fundo;2025-11-26;Classe II B - Inertes
27897;Mocotó;Poconé;100;14;0.317;;;2022-12-15;;Pessoa Física;Córrego Fundo;2026-02-26;
27898;VCS;Poconé;906.81;0;0;;;2023-08-10;;Pessoa Física;Córrego Fundo;2025-11-26;Classe II B - Inertes
279;Fazenda São Judas Tadeu;PRIMAVERA DO LESTE;0;;;;;2010-09-17;;;Rio das Mortes;;
27906;Fazenda São Marcos A;IPIRANGA DO NORTE;183.9;0;0;;;1800-01-01T00:00:00;;Pessoa Física;SEM NOME;2024-10-08;
27937;BRAVO 1;VÁRZEA GRANDE;805;0;0;;2021-04-14;2017-08-17;;;SEM NOME;2025-11-24;Classe II B - Inertes
27940;Estância 2R - Retiro Vista Alegre;Rosário Oeste;46.64;0;0;;;1800-01-01T00:00:00;;Pessoa Física;Ribeirão do Engenho;2025-01-27;
27954;Lago Recreativo Cuiabá;CUIABÁ;882;0;0;2024-05-08;;2021-08-09;;Empresas em Geral - Privado;CÓRREGO DO OURO;2026-02-04;
28141;Fazenda Confluência;SANTA RITA DO TRIVELATO;1800;0;0;;;1800-01-01T00:00:00;;Pessoa Física;córrego sem denominação;2024-10-08;
