cr;data_atualizacao;dominio_uniao;epsg;etnia_nome;faixa_fronteira;fase_ti;gid;modalidade_ti;municipio_nome;reestudo_ti;superficie_perimetro_ha;terrai_codigo;terrai_nome;uf_sigla;undadm_codigo;undadm_nome;undadm_sigla
COORDENACAO REGIONAL DE CUIABA;;t;4674;Paresí;Não;Homologada;117;Tradicionalmente ocupada;Diamantino;;2170;11801;Estação Parecis;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;;t;4674;Paresí;Não;Regularizada;118;Tradicionalmente ocupada;Tangará da Serra;;2031.9414;11901;Estivadinho;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;10/03/2021;t;4674;Paresí;Não;Regularizada;127;Tradicionalmente ocupada;Barra do Bugres,Tangará da Serra;;9858.9291;12801;Figueiras;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;12/06/2020;t;4674;Irántxe;Não;Regularizada;168;Tradicionalmente ocupada;Brasnorte;;45555.95;17301;Irantxe;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;27/03/2025;t;4674;Irántxe;Não;Homologada;169;Tradicionalmente ocupada;Brasnorte;Reestudo;250539.8293;17302;Manoki;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;20/04/2023;t;4674;Rikbaktsa;Não;Regularizada;182;Tradicionalmente ocupada;Juara;;152509.88;18601;Japuira;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL DE CUIABA;26/10/2022;t;4674;Boróro ;Não;Regularizada;188;Tradicionalmente ocupada;Poxoréo;;4706;19101;Jarudore;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;02/07/2026;t;4674;Paresí;Sim;Regularizada;192;Tradicionalmente ocupada;Conquista D´Oeste;;70537.5203;19501;Juininha;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL ARAGUAIA TOCANTINS;19/05/2023;t;4674;Karajá;Não;Regularizada;207;Tradicionalmente ocupada;Cocalinho;;893.2687;21101;Karajá de Aruanã II;MT;30202001962;COORDENACAO REGIONAL ARAGUAIA TOCANTINS;CR-ATO
COORDENACAO REGIONAL NORTE DO MATO GROSSO;23/06/2026;t;4674;Kaiabi;Não;Regularizada;226;Tradicionalmente ocupada;Apiacás,Jacareacanga;Reestudo;1053257.6811;22902;Kayabi;MT,PA;30202002039;COORDENACAO REGIONAL NORTE DO MATO GROSSO;CR-NMT
COORDENACAO REGIONAL DE CUIABA;;t;4674;Negarotê;Sim;Regularizada;248;Tradicionalmente ocupada;Comodoro;;1845.058;25001;Lagoa dos Brincos;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;04/05/2022;t;4674;Xavante;Não;Regularizada;265;Tradicionalmente ocupada;São Félix do Araguaia,Bom Jesus do Araguaia,Alto Boa Vista;;165241.2291;26901;Maraiwatsede;MT;30202002046;COORDENACAO REGIONAL RIBEIRAO CASCALHEIRA;CR-RC
COORDENACAO REGIONAL XAVANTE;09/07/2026;t;4674;Xavante;Não;Regularizada;268;Tradicionalmente ocupada;Paranatinga;;98500;27201;Marechal Rondon;MT;30202002053;COORDENACAO REGIONAL XAVANTE;CR-XAV
COORDENACAO REGIONAL DE CUIABA;26/01/2021;t;4674;Kayapó;Não;Regularizada;281;Tradicionalmente ocupada;Matupá,Peixoto de Azevedo,Altamira,São Félix do Xingu;;4914254.8206;28701;Menkragnoti;PA,MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;10/10/2022;t;4674;Mynky;Não;Regularizada;282;Tradicionalmente ocupada;Brasnorte;;47094.8647;28801;Menkü;MT;30202002032;COORDENACAO REGIONAL NOROESTE DO MATO GROSSO;CR-NOMT
COORDENACAO REGIONAL DE CUIABA;22/05/2018;t;4674;Boróro ;Não;Regularizada;284;Tradicionalmente ocupada;Barra do Garças,General Carneiro;;82301.1363;29001;Merure;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;13/07/2026;t;4674;Nambikwára;Sim;Regularizada;295;Tradicionalmente ocupada;Comodoro;;1011961.4852;30201;Nambikwara;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL NORTE DO MATO GROSSO;16/12/2022;t;4674;Panará;Não;Regularizada;315;Tradicionalmente ocupada;Guarantã do Norte,Matupá,Altamira;;499740.005;32201;Panará;PA,MT;30202002039;COORDENACAO REGIONAL NORTE DO MATO GROSSO;CR-NMT
COORDENACAO REGIONAL XAVANTE;07/07/2026;t;4674;Xavante;Não;Regularizada;320;Tradicionalmente ocupada;Nova Xavantina,Campinápolis,Água Boa;;224447.3367;32701;Parabubure;MT;30202002053;COORDENACAO REGIONAL XAVANTE;CR-XAV
COORDENACAO REGIONAL DE CUIABA;02/07/2026;t;4674;Paresí;Sim;Regularizada;327;Tradicionalmente ocupada;Tangará da Serra;;563586.5345;33401;Paresi;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CACOAL;31/03/2026;t;4674;Cinta Larga;Sim;Regularizada;329;Tradicionalmente ocupada;Juína,Vilhena;;1603245.9806;33601;Parque do Aripuanã;MT,RO;30202001934;COORDENACAO REGIONAL DE CACOAL;CR-CAC
COORDENACAO REGIONAL XINGU;24/04/2025;t;4674;Wauja, Trumái, Yawalapití, Mehináku, Aweti, Yudjá, Kisêdjê, Ikpeng, Matipú, Kuikuro, Nahukuá, Tapayuna, Kaiabi, Kamayrurá, Kalapalo;Não;Regularizada;331;Tradicionalmente ocupada;Feliz Natal,Gaúcha do Norte,Querência,Canarana,São Félix do Araguaia,Nova Ubiratã,Marcelândia,Paranatinga,São Félix do Xingu;;2642003.9374;33801;Parque do Xingu;MT,PA;30202002060;COORDENACAO REGIONAL XINGU;CR-XIN
COORDENACAO REGIONAL DE CUIABA;08/05/2023;f;4674;Nambikwára;Sim;Delimitada;333;Tradicionalmente ocupada;Conquista D´Oeste,Vila Bela da Santíssima Trindade,Nova Lacerda;;8400;34101;Paukalirajausu;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;26/07/2019;t;4674;Nambikwára;Sim;Regularizada;340;Tradicionalmente ocupada;Nova Lacerda;;9886.8211;34801;Pequizal;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
COORDENACAO REGIONAL DE CUIABA;22/06/2026;t;4674;Boróro ;Não;Regularizada;341;Tradicionalmente ocupada;Barão de Melgaço;;10740.4115;34901;Perigara;MT;30202002025;COORDENACAO REGIONAL DE CUIABA;CR-CGB
