codigo_ibge;municipio;data_referencia;chuva_24h_mm;chuva_72h_mm;chuva_prevista_24_72h_mm;percentil_climatologico;saturacao_antecedente;indice_saturacao_solo;classe_saturacao_solo;razao_nivel_cota_alerta;nivel_alerta_hidro;dias_consecutivos_chuva_intensa;dias_com_serie_precip;fonte_precip;fonte_previsao;fonte_solo;fonte_hidro;alerta_cemaden;alerta_cemaden_nivel;alerta_inmet;alerta_inmet_nivel;alerta_ana_nivel;nivel_alerta_integrado;score_alerta_integrado;componente_dominante;motivo_integrado;vazao_prevista_glofas_m3s;fonte_glofas;aproximacao_espacial
5102504;Cáceres;2026-09-06;2.7;5.3;0.5;37.3;0,6600;66,0;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102603;Campinápolis;2026-09-06;10.5;12.2;16.0;84.5;0,7280;72,8;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102637;Campo Novo do Parecis;2026-09-06;1.1;6.5;1.4;19.7;0,8310;83,1;muito_alta;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5102678;Campo Verde;2026-09-06;0.0;0.9;21.8;4.9;0,7130;71,3;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102686;Campos de Júlio;2026-09-06;7.3;13.8;1.1;71.1;0,7740;77,4;alta;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5102694;Canabrava do Norte;2026-09-06;4.8;18.2;4.7;51.4;0,6480;64,8;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102702;Canarana;2026-09-06;1.2;2.4;7.4;23.9;0,8740;87,4;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102793;Carlinda;2026-09-06;2.6;21.7;6.6;36.6;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;;;;;;;;municipio_sede
5102850;Castanheira;2026-09-06;0.4;5.7;1.0;12.7;0,6700;67,0;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103007;Chapada dos Guimarães;2026-09-06;0.0;0.0;7.1;4.9;0,1420;14,2;baixa;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;10.09;openmeteo_glofas_copernicus_ems;municipio_sede
5103056;Cláudia;2026-09-06;3.0;8.2;6.5;39.4;0,8190;81,9;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103106;Cocalinho;2026-09-06;6.2;10.3;16.5;64.8;0,4810;48,1;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103205;Colíder;2026-09-06;9.2;25.6;2.9;78.9;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103254;Colniza;2026-09-06;2.9;12.7;8.1;38.7;0,6770;67,7;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103304;Comodoro;2026-09-06;6.0;36.8;2.2;62.7;0,5830;58,3;moderada;0,55;verde;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;verde;;;;;;;municipio_sede
5103353;Confresa;2026-09-06;5.7;15.2;6.1;58.5;0,6510;65,1;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103361;Conquista D'Oeste;2026-09-06;8.4;14.6;1.3;74.6;0,7860;78,6;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103379;Cotriguaçu;2026-09-06;1.3;6.7;2.4;26.1;0,6620;66,2;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103403;Cuiabá;2026-09-06;6.9;7.9;3.0;66.9;0,4070;40,7;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;0.23;openmeteo_glofas_copernicus_ems;municipio_sede
5103437;Curvelândia;2026-09-06;16.8;31.6;1.6;96.5;0,9520;95,2;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103452;Denise;2026-09-06;3.6;3.7;0.9;43.7;0,4910;49,1;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103502;Diamantino;2026-09-06;1.0;5.1;1.6;17.6;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103601;Dom Aquino;2026-09-06;0.1;1.5;21.9;8.5;0,1440;14,4;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103700;Feliz Natal;2026-09-06;1.2;3.9;2.1;23.9;0,8410;84,1;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103809;Figueirópolis D'Oeste;2026-09-06;8.3;11.8;1.2;73.9;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103858;Gaúcha do Norte;2026-09-06;1.6;6.0;11.4;30.3;0,7190;71,9;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103908;General Carneiro;2026-09-06;0.5;2.1;10.6;14.1;0,5660;56,6;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5103957;Glória D'Oeste;2026-09-06;8.5;14.2;0.5;76.1;0,5160;51,6;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104104;Guarantã do Norte;2026-09-06;5.1;14.1;5.6;54.2;0,8540;85,4;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104203;Guiratinga;2026-09-06;1.6;3.2;4.7;30.3;0,2780;27,8;baixa;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104500;Indiavaí;2026-09-06;10.1;23.2;1.8;82.4;0,9130;91,3;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104526;Ipiranga do Norte;2026-09-06;5.9;9.2;4.0;60.6;0,9220;92,2;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104542;Itanhangá;2026-09-06;0.2;2.8;6.5;10.6;0,7960;79,6;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104559;Itaúba;2026-09-06;2.1;4.3;5.2;35.2;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104609;Itiquira;2026-09-06;1.4;13.4;7.4;26.8;1,0000;100,0;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104807;Jaciara;2026-09-06;0.0;1.3;13.4;4.9;0,7540;75,4;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5104906;Jangada;2026-09-06;8.5;8.9;0.9;76.1;0,6570;65,7;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105002;Jauru;2026-09-06;9.5;14.2;2.0;81.0;0,8270;82,7;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105101;Juara;2026-09-06;0.0;2.2;7.6;4.9;0,7820;78,2;alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;hidro_risco_municipal;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105150;Juína;2026-09-06;4.0;11.9;4.6;47.2;0,4190;41,9;moderada;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
5105176;Juruena;2026-09-06;0.1;8.1;1.1;8.5;0,8260;82,6;muito_alta;;;0;3;openmeteo_sisclima_fallback;openmeteo_ecmwf_ifs025;openmeteo_soil_proxy;;;;Tempestade;amarelo;;;;;;;;municipio_sede
