id_snisb;nome_barragem;municipio_sede;piloto_eixo;rank;codigo_estacao;nome_estacao;nome_rio;municipio_estacao;lat;lon;dist_barragem_km;dist_eixo_km;no_corredor_eixo;relacao;cota_cm;vazao_m3s;cota_alerta_cm;razao_nivel_cota_alerta;data_ultima;fonte_estacao;fonte_telemetria;a6_fonte
20619;PCH Alto Paraguai (Pedro Pedrossian) - Alto Paraguai;Diamantino;0;1;01455013;UHE MANSO MET;Rio Manso;Chapada dos Guimarães;-14,861400;-55,789400;77,27;1,04;1;jusante;360,0;110,50;400,0;0,900;2026-07-27 08:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
36574;Barramento Rancho Grande;Indiavaí;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;35,90;262,27;0;montante;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
4955;PCH Figueirópolis - Figueirópolis;Indiavaí;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;47,21;262,27;0;montante;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
4487;PCH Salto - Salto;Indiavaí;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;34,12;262,27;0;montante;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
4715;PCH Antônio Brennand (Antiga  Alto Jauru) - Antônio Brennand;Jauru;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;17,45;262,27;0;local;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;cota_medida
4202;PCH Indiavaí - Indiavaí;Jauru;0;1;15043000;UHE GUAPORÉ MONTANTE 1;Rio Guaporé;Jauru;-15,059400;-58,910600;30,25;262,27;0;montante;248,0;68,00;280,0;0,886;2026-07-27 10:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;contexto_somente
32029;BARRAGEM NA FAZENDA ÁGUA SANTA II;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;26,39;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
31517;Barragem Bem-te-vi;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;39,82;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
35359;Barragem do Parque Oeste;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;2,80;183,74;0;local;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
20051;Barramento Fazenda Carajas  - Lote 64;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;24,94;183,74;0;jusante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
31577;Barramento Montante Fazenda Carajas  - Lote 64;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;27,08;183,74;0;jusante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
34136;CGH Aprovale - Associação Dos Produtores Do Vale Do Cedro - cedro;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;30,96;183,74;0;jusante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
8028;FAZENDA DONA IRILDE;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;42,24;183,74;0;jusante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
8034;FAZENDA OGLIARI;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;42,12;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
341;Faz. Espera Feliz;Lucas do Rio Verde;0;1;01355006;PZ_LUCAS DO RIO VERDE;;Lucas do Rio Verde;-13,073300;-55,923100;39,82;183,74;0;montante;;;;;2026-07-27 09:00:00;csv:/workspace/barragens-mt/dados/brutos/ana_estacoes_mt.csv;csv:/workspace/barragens-mt/dados/brutos/ana_telemetria.csv;
