rank;score_prioridade;faixa;id_snisb;nome;municipio_sede;nivel;idap;dano_potencial_associado;uso_principal;n_municipios_extraterritoriais;n_lacunas_pae;alertavel;pts_dpa;pts_rejeito;pts_nivel;pts_extraterritorial;pts_pae;pts_nao_alertavel
89;40;média;27896;BARBA;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
90;40;média;26235;BARRAGEM COOP 01;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
91;40;média;32029;BARRAGEM NA FAZENDA ÁGUA SANTA II;Lucas do Rio Verde;Amarelo;16;Baixo;Paisagismo;8;8;não avaliado;0;0;10;15;15;0
92;40;média;26240;BP-01;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
93;40;média;26241;BP-02;Nossa Senhora do Livramento;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
94;40;média;26147;BR ÁGUA DE COCO;Nossa Senhora do Livramento;Amarelo;29;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
95;40;média;29381;BR03;Nossa Senhora do Livramento;Amarelo;29;Médio;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
96;40;média;35939;Barragem Barba 02;Poconé;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
97;40;média;31517;Barragem Bem-te-vi;Lucas do Rio Verde;Amarelo;16;Baixo;Irrigação;3;8;não avaliado;0;0;10;15;15;0
98;40;média;26236;Barragem Fazenda Aguassu;Nossa Senhora do Livramento;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
99;40;média;29377;Barragem MSJ;Cuiabá;Amarelo;18;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
100;40;média;8041;Barragem T04;Cuiabá;Amarelo;15;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
101;40;média;32394;Barragem XAVIER;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
102;40;média;21951;Barragem de Mineração-CPM;Poconé;Amarelo;22;Baixo;Contenção de rejeitos de mineração;0;4;não avaliado;0;15;10;0;15;0
103;40;média;35359;Barragem do Parque Oeste;Lucas do Rio Verde;Amarelo;18;Médio;Paisagismo;5;5;não avaliado;0;0;10;15;15;0
104;40;média;35123;Barramento - Fazenda Seriema;Sorriso;Amarelo;20;Baixo;Irrigação;6;8;não avaliado;0;0;10;15;15;0
105;40;média;20051;Barramento Fazenda Carajas  - Lote 64;Lucas do Rio Verde;Amarelo;18;Médio;Irrigação;8;8;não avaliado;0;0;10;15;15;0
106;40;média;31577;Barramento Montante Fazenda Carajas  - Lote 64;Lucas do Rio Verde;Amarelo;14;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
107;40;média;36539;Barramento Pé de Pequi I;Chapada dos Guimarães;Amarelo;21;Baixo;Abastecimento humano;6;8;sim;0;0;10;15;15;0
108;40;média;34136;CGH Aprovale - Associação Dos Produtores Do Vale Do Cedro - cedro;Lucas do Rio Verde;Amarelo;14;Baixo;Hidroelétrica;8;8;não avaliado;0;0;10;15;15;0
109;40;média;8028;FAZENDA DONA IRILDE;Lucas do Rio Verde;Amarelo;17;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
110;40;média;8034;FAZENDA OGLIARI;Lucas do Rio Verde;Amarelo;14;Baixo;Aquicultura;8;8;não avaliado;0;0;10;15;15;0
111;40;média;341;Faz. Espera Feliz;Lucas do Rio Verde;Amarelo;14;Baixo;Irrigação;3;8;não avaliado;0;0;10;15;15;0
112;40;média;8033;Fazenda Botucatu lll;Lucas do Rio Verde;Amarelo;19;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
113;40;média;35231;Fazenda Jangada Agropastoril - Barragem a montante;Jangada;Amarelo;20;Baixo;Recreação;3;8;sim;0;0;10;15;15;0
114;40;média;35229;Fazenda Jangada Agropastoril II - Barragem Principal;Jangada;Amarelo;22;Baixo;Recreação;3;8;sim;0;0;10;15;15;0
115;40;média;5679;Fazenda Juliandre II;Lucas do Rio Verde;Amarelo;17;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
116;40;média;361;Fazenda Nadin;Lucas do Rio Verde;Amarelo;17;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
117;40;média;20075;Fazenda Ogliari;Lucas do Rio Verde;Amarelo;16;Baixo;Aquicultura;8;8;não avaliado;0;0;10;15;15;0
118;40;média;8037;Fazenda Palmeira ll;Lucas do Rio Verde;Amarelo;17;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
119;40;média;8036;Fazenda Piva;Lucas do Rio Verde;Amarelo;14;Baixo;Aquicultura;5;8;não avaliado;0;0;10;15;15;0
120;40;média;389;Fazenda Santo Antonio I;Lucas do Rio Verde;Amarelo;16;Baixo;Irrigação;8;8;não avaliado;0;0;10;15;15;0
121;40;média;5475;GAÚCHO;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
122;40;média;27572;LIPINISKY;Carlinda;Amarelo;21;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
123;40;média;31175;LOTES 79 E 80;Sinop;Amarelo;20;Médio;Recreação;4;8;não avaliado;0;0;10;15;15;0
124;40;média;894;LU;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;6;não avaliado;0;15;10;0;15;0
125;40;média;27897;MOCOTÓ;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
126;40;média;29383;Mineração Livramento;Nossa Senhora do Livramento;Amarelo;27;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
127;40;média;30135;NSL 01;Nossa Senhora do Livramento;Amarelo;21;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
128;40;média;4931;PCH Casca II - B01 - CASCA I;Chapada dos Guimarães;Amarelo;15;Baixo;Hidroelétrica;6;8;sim;0;0;10;15;15;0
129;40;média;20618;PCH Casca II - B02 - Ponte Alta;Chapada dos Guimarães;Amarelo;15;Baixo;Hidroelétrica;6;8;sim;0;0;10;15;15;0
130;40;média;20617;PCH Casca III - Casca III;Chapada dos Guimarães;Amarelo;18;Baixo;Hidroelétrica;6;6;sim;0;0;10;15;15;0
131;40;média;27623;PURO OURO;Cuiabá;Amarelo;15;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
132;40;média;31561;Prefeitura Municipal de Lucas do Rio Verde;Lucas do Rio Verde;Amarelo;21;Baixo;Irrigação;3;8;não avaliado;0;0;10;15;15;0
133;40;média;5751;Prefeitura de LUCAS DO RIO VERDE;Lucas do Rio Verde;Amarelo;18;Não Classificado;Paisagismo;5;8;não avaliado;0;0;10;15;15;0
134;40;média;36607;Primavera;Nossa Senhora do Livramento;Amarelo;21;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
135;40;média;5458;RODUÍ II;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
136;40;média;27628;TARUMÃ II;Poconé;Amarelo;28;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
137;40;média;27898;VCS;Poconé;Amarelo;26;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
138;40;média;36582;Árica;Cuiabá;Amarelo;13;Baixo;Contenção de rejeitos de mineração;0;5;não avaliado;0;15;10;0;15;0
139;37;média;31563;BARRAGEM URUTAU;Barra do Garças;Verde;8;Alto;Irrigação;0;8;não avaliado;20;0;2;0;15;0
140;37;média;34694;Barragem Rios Psicultura;Tangará da Serra;Verde;13;Alto;Aquicultura;0;8;não avaliado;20;0;2;0;15;0
141;37;média;5097;PCH Bocaiúva - PCH Bocaiúva;Brasnorte;Verde;5;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
142;37;média;4172;PCH Garganta da Jararaca - Garganta da Jararaca;Nova Maringá;Verde;5;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
143;37;média;20457;PCH Graça Brennand (Antiga Terra Santa)  - Dique Graça Brennand;Tangará da Serra;Verde;7;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
144;37;média;4297;PCH Graça Brennand (Antiga Terra Santa)  - Graça Brennand;Tangará da Serra;Verde;7;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
145;37;média;4278;PCH Inxú - S/N;Nova Maringá;Verde;7;Alto;Hidroelétrica;0;8;não avaliado;20;0;2;0;15;0
146;37;média;34064;PCH Jesuíta - PCH Jesuíta;Sapezal;Verde;7;Alto;Hidroelétrica;0;8;não avaliado;20;0;2;0;15;0
147;37;média;4682;PCH Juína - Barragem da PCH Juína;Juína;Verde;6;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
148;37;média;4410;PCH Pampeana - Pampeana;Tangará da Serra;Verde;7;Alto;Hidroelétrica;0;6;não avaliado;20;0;2;0;15;0
