id_snisb;nome;municipio;raio_proxy_km;n_captacoes;n_escolas;n_ativos;servicos_essenciais_ameacados;captacao_ameacada;n_vias_malha;n_pontes;n_refs;isolamento_rodoviario;fonte
35856;Barramento Salinas 2;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
19977;Campo Experimental Empaer;Nossa Senhora do Livramento;8.0;2;1;0;1;Sistema isolado ou rural;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
8008;Estância Recreio;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7994;Faz. Cabeça Branca - Barragem 01;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7993;Faz. Cabeça Branca - Barragem 02;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7991;Faz. Cabeça Branca - Barragem 04;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7990;Faz. Cabeça Branca - Barragem 05;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7989;Faz. Cabeça Branca - Barragem 06;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
7992;Fazenda Cabeça Branca - Barragem 03;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20047;Fazenda Murici Sesmaria Molhado;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20048;Fazenda Murici Sesmaria Molhado;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20049;Fazenda Murici Sesmaria Molhado;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
22045;JABURU;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
23802;JABURU 2;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
29386;LD-01;Nossa Senhora do Livramento;8.0;3;3;2;5;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
20403;MANÉ;Nossa Senhora do Livramento;8.0;2;2;0;2;Sistema isolado ou rural;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26171;MULTI 1;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
29383;Mineração Livramento;Nossa Senhora do Livramento;8.0;2;0;0;0;Captação principal de sede municipal ou única captação;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
340;Piscicultura São Rafael;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
22157;Rabo de Bica;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26536;SAAF;Nossa Senhora do Livramento;8.0;2;1;0;1;Sistema isolado ou rural;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
31258;Salinas;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
5563;Santa Maria;Nossa Senhora do Livramento;8.49;2;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
5645;Santa Tereza;Nossa Senhora do Livramento;10.58;4;5;0;5;Sistema urbano de pequeno ou médio porte;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
5646;Santa Tereza II;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26538;Sitio Pirapora;Nossa Senhora do Livramento;8.0;1;0;0;0;Captação principal de sede municipal ou única captação;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
1282;TB01;Nossa Senhora do Livramento;10.58;0;0;0;0;Nenhuma;0;0;0;Rotas alternativas pavimentadas;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
26267;Tadeu;Nossa Senhora do Livramento;8.0;0;0;0;0;Nenhuma;1;1;1;Acesso único sem alternativa;proxy buffer eixo Manso–Cuiabá (Sisagua/INEP/OSM) — não é mancha PAE
