categoria;nome;municipio;distancia_eixo_km;faixa;segmento_do_eixo;familias;hospitalar;detalhe;longitude;latitude
estabelecimento de saúde;DALVANI ELIAS DORN;Cuiabá;0.65;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.084446;-15.624997
estabelecimento de saúde;TECNOLAB SERVICOS DE DIAGNOSTICO DE IMAGEM;Várzea Grande;0.65;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.111405;-15.628038
estabelecimento de saúde;CENTRAL DE REGULACAO ACORIZAL;Acorizal;0.66;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.363822;-15.200297
estabelecimento de saúde;POSTO DE COLETA UNIDADE CRISTO REI;Várzea Grande;0.66;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.111807;-15.62859
estabelecimento de saúde;ARITUSA LEITE NOBREGA;Várzea Grande;0.67;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.081042;-15.626901
estabelecimento de saúde;IAPCC;Cuiabá;0.68;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.119816;-15.61909
estabelecimento de saúde;SHEILA HORST DUQUE GRIPP;Cuiabá;0.68;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.131764;-15.606619
estabelecimento de saúde;CLINICA PAIS E FILHOS S C LTDA;Cuiabá;0.69;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.120069;-15.619264
estabelecimento de saúde;DENTE FELIZ;Várzea Grande;0.69;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.111604;-15.628767
estabelecimento de saúde;CLINICA ESPECIALIZADA EM OFTALMOLOGIA VARZEA GRANDE;Várzea Grande;0.69;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.080895;-15.626873
estabelecimento de saúde;JEANE FERNANDA DE OLIVEIRA PEREIRA;Várzea Grande;0.69;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.080895;-15.626873
estabelecimento de saúde;LABORATORIO SAO JOSE;Rosário Oeste;0.7;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.427948;-14.83604
estabelecimento de saúde;FARMACIA MUNICIPAL DE ROSARIO OESTE;Rosário Oeste;0.7;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.427884;-14.835977
estabelecimento de saúde;VITA EMERGENCIAS MEDICAS;Cuiabá;0.71;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.077787;-15.629288
estabelecimento de saúde;USF SANTA ISABEL;Cuiabá;0.71;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.132864;-15.60393
estabelecimento de saúde;CENTRO DE DISTRIBUICAO DE MEDICAMENTO;Santo Antônio de Leverger;0.71;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.076235;-15.865553
estabelecimento de saúde;USF CRISTO REI VITOR MARQUES PEREIRA MALHEIROS;Várzea Grande;0.71;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.111742;-15.629089
estabelecimento de saúde;VIGILANCIA EM SAUDE DE ROSARIO OESTE;Rosário Oeste;0.72;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.428142;-14.835977
estabelecimento de saúde;ESPACO SAUDE;Rosário Oeste;0.72;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.428034;-14.835894
estabelecimento de saúde;UNIDADE DE COLETA DE SANGUE;Várzea Grande;0.72;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.113212;-15.630975
estabelecimento de saúde;INSTITUTO DO SONO DE MATO GROSSO;Cuiabá;0.73;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.118099;-15.616969
estabelecimento de saúde;UNIDADE DE SAUDE DA FAMILIA BAUXI;Rosário Oeste;0.73;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.428206;-14.835915
estabelecimento de saúde;CONSULTORIO NA RUA LUZ;Cuiabá;0.74;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.098546;-15.613585
estabelecimento de saúde;ROSIN CLINICA DE PSICOLOGIA;Cuiabá;0.74;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.129265;-15.617483
estabelecimento de saúde;CONSULTORIO NA RUA NOVO AMANHECER;Cuiabá;0.74;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.098548;-15.613588
estabelecimento de saúde;POSTO DE SAUDE DE ENGENHO VELHO;Santo Antônio de Leverger;0.74;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.077094;-15.864694
estabelecimento de saúde;USF ANA POUPINA;Cuiabá;0.75;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.09858;-15.613364
estabelecimento de saúde;LAURA BEU CARVALHO MAGALHARES;Cuiabá;0.76;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.129532;-15.616452
estabelecimento de saúde;VANIA DE MELO VIANA ME;Cuiabá;0.76;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.127735;-15.586458
estabelecimento de saúde;IRACEMA MARIA DE QUEIROZ;Cuiabá;0.77;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.128195;-15.587257
estabelecimento de saúde;LAUZAMAR ROGE SALOMAO JUNIOR;Cuiabá;0.77;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.128108;-15.587199
estabelecimento de saúde;JOAO JOSE AIDAMUS DE LAMONICA FREIRE;Cuiabá;0.78;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.128;-15.587214
estabelecimento de saúde;LUCIANA OSSI RIBEIRO;Cuiabá;0.78;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.128063;-15.587234
estabelecimento de saúde;MARIA TERESA MARRANGHELLO MALUF;Cuiabá;0.78;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.128075;-15.587219
estabelecimento de saúde;LUCIANA TIEMI TAKASHIMA;Cuiabá;0.78;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.104999;-15.610194
estabelecimento de saúde;FERNANDO WALLACE SERVIO RONDON CIA LTDA;Cuiabá;0.79;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.13188;-15.603984
estabelecimento de saúde;CAPS AD ADOLESCER;Cuiabá;0.79;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.089046;-15.620984
estabelecimento de saúde;POSTO DE SAUDE BARREIRINHO;Santo Antônio de Leverger;0.79;até 2 km;jusante_capital;;Não;sem atendimento hospitalar;-56.076729;-15.864343
estabelecimento de saúde;CLINICA SPECIALI;Cuiabá;0.81;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.105316;-15.60987
estabelecimento de saúde;HOSPITAL GERAL E MATERNIDADE DE CUIABA;Cuiabá;0.82;até 2 km;manso_capital;;Sim;atendimento hospitalar;-56.105346;-15.609857
estabelecimento de saúde;ULTRACLIN;Cuiabá;0.83;até 2 km;manso_capital;;;sem atendimento hospitalar;-56.113228;-15.611846
estabelecimento de saúde;INTER CLINICA DE PSICOLOGIA E NEUROPSICOLOGIA INTEGRADA;Várzea Grande;0.83;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.114849;-15.633831
estabelecimento de saúde;RAIZES DO SABER;Cuiabá;0.84;até 2 km;manso_capital;;Não;sem atendimento hospitalar;-56.092449;-15.617308
