id_snisb;nome_barragem;municipio_sede;municipio_potencialmente_afetado;codigo_trecho_barragem;codigo_secao_controle_afetado;relacao_otto;idap;nivel;dano_potencial_associado
30913;Barragem Fazenda Adriana;Guiratinga;Alto Garças;8964878;8964878;mesmo trecho;8;Verde;Médio
4955;PCH Figueirópolis - Figueirópolis;Indiavaí;Araputanga;8994;8994;mesmo trecho;11;Verde;Alto
4955;PCH Figueirópolis - Figueirópolis;Indiavaí;Jauru;8994;8994;mesmo trecho;11;Verde;Alto
4487;PCH Salto - Salto;Indiavaí;Araputanga;8994;8994;mesmo trecho;11;Verde;Médio
4487;PCH Salto - Salto;Indiavaí;Jauru;8994;8994;mesmo trecho;11;Verde;Médio
28709;Barragem 1;Ipiranga do Norte;Alta Floresta;4448144;44452872;montante;8;Verde;Baixo
28709;Barragem 1;Ipiranga do Norte;Carlinda;4448144;44457212;montante;8;Verde;Baixo
28709;Barragem 1;Ipiranga do Norte;Itaúba;4448144;444762;montante;8;Verde;Baixo
28709;Barragem 1;Ipiranga do Norte;Nova Canaã do Norte;4448144;44473332;montante;8;Verde;Baixo
28709;Barragem 1;Ipiranga do Norte;Sinop;4448144;4447944;montante;8;Verde;Baixo
28620;Barramento II - Fazenda Cascata;Ipiranga do Norte;Alta Floresta;4447996;44452872;montante;12;Verde;Médio
28620;Barramento II - Fazenda Cascata;Ipiranga do Norte;Carlinda;4447996;44457212;montante;12;Verde;Médio
28620;Barramento II - Fazenda Cascata;Ipiranga do Norte;Nova Canaã do Norte;4447996;44473332;montante;12;Verde;Médio
20036;FAZENDA RINCÃO FLORIDO;Ipiranga do Norte;Alta Floresta;44482;44452872;montante;8;Verde;Não Classificado
20036;FAZENDA RINCÃO FLORIDO;Ipiranga do Norte;Carlinda;44482;44457212;montante;8;Verde;Não Classificado
20036;FAZENDA RINCÃO FLORIDO;Ipiranga do Norte;Itaúba;44482;444762;montante;8;Verde;Não Classificado
20036;FAZENDA RINCÃO FLORIDO;Ipiranga do Norte;Nova Canaã do Norte;44482;44473332;montante;8;Verde;Não Classificado
