area_calc_ha;area_hectare_declarada;capacidade;cd_sipra;data_de_criacao;data_obtencao;descricao_fase;fase;forma_obtencao;gid;municipio;nome_projeto;num_familias;sr
3386.4564;3630.0000;78;MT0018000;11/12/1986;18/12/1985;;7;Desapropriação;11732;PONTES E LACERDA;PA 1.500 ALQUEIRES;69;
1563.6835;1578.0000;82;MT0103000;27/11/1995;27/07/1986;;7;Desapropriação;11046;PONTES E LACERDA;PA CÓRREGO DA ONÇA;81;
2098.2988;2099.9290;37;MT0329000;10/02/2000;25/05/1998;;3;Desapropriação;9845;PONTES E LACERDA;PA LAGOA RICA;36;
12839.1761;12506.7865;392;MT0138000;10/05/1996;25/03/1995;;3;Desapropriação;1991;PONTES E LACERDA;PA RIO ALEGRE;362;
1793.2957;1810.0000;70;MT0293000;17/11/1999;17/11/1999;;3;Desapropriação;2390;POXOREO;PA ALMINHAS;64;
995.6055;982.0000;38;MT0321000;10/02/2000;19/08/2002;;3;Desapropriação;18052;POXOREO;PA JOÃO DE BARRO;37;
5317.3949;5250.5353;166;MT0325000;10/12/1999;16/06/1999;;3;Desapropriação;18049;POXOREO;PA CARLOS MARIGHELA-PONTAL DA AREIA;163;
3279.4944;3225.3360;120;MT0753000;17/11/2005;17/11/2005;;3;Desapropriação;10877;POXOREO;PA MÁRTIRES DOS CARAJÁS;102;
13564.8492;12756.0764;183;MT0264000;28/01/1999;10/02/1998;;3;Desapropriação;17910;QUERENCIA;PA SÃO MANOEL;179;
1704.2386;1706.0920;63;MT0263000;28/12/1998;07/10/1998;;3;Desapropriação;18057;POXOREO;PA SANTO ANTONIO DA ALDEIA;62;
28506.7503;28577.6944;317;MT0213000;30/01/1998;07/11/1997;;3;Desapropriação;2066;QUERENCIA;PA BRASIL NOVO;299;
3745.9978;3769.1400;75;MT0793000;02/10/2006;04/10/2005;;3;Desapropriação;11472;QUERENCIA;PA CANÃA I;36;
38807.8468;38811.6814;551;MT0234000;09/07/1998;09/01/1998;;3;Desapropriação;8624;QUERENCIA;PA PINGOS DÁGUA;540;
5922.0649;5990.5956;194;MT0158000;21/01/1997;18/10/1996;;6;Compra e Venda;18064;RONDONOPOLIS;PA CARIMÃ;176;
639.2580;622.8743;30;MT0148000;02/12/1996;11/10/1995;;3;Compra e Venda;18050;RONDONOPOLIS;PA VALE DO BACURI;22;
118234.9709;103411.3811;3580;MT0082000;15/08/1995;17/08/1993;;3;Desapropriação;5698;RIBEIRAO CASCALHEIRA;PA MACIFE;1166;
3147.3071;2691.7051;117;MT0042000;19/08/1987;07/01/1987;;5;Desapropriação;1974;RIO BRANCO;PA MONTECHI;104;
645.5882;607.2781;25;MT0780000;23/11/2005;23/11/2005;;6;Desapropriação;18077;RONDONOPOLIS;PA PAU D´ALHO;22;
7705.5584;7710.4345;305;MT0049000;23/03/1988;26/06/1987;;3;Desapropriação;9421;RONDONOPOLIS;PA RIO VERMELHO;262;
1358.9358;1332.1963;50;MT0155000;10/01/1997;18/10/1996;;6;Desapropriação;18041;RONDONOPOLIS;PA SÃO FRANCISCO;49;
1745.5270;1660.0621;40;MT0268000;27/11/1998;06/11/1997;;3;Desapropriação;2259;ROSARIO OESTE;PA SANTA HELENA III;36;
2183.4569;2288.6000;90;MT0185000;30/05/1997;05/11/1996;;3;Desapropriação;2226;SAO JOSE DO POVO;PA MÁRCIO PEREIRA;87;
17170.1487;17171.2957;368;MT0141000;10/05/1996;24/03/1995;;6;Desapropriação;18038;ROSARIO OESTE;PA FORQUILHA DO RIO MANSO;367;
6269.2701;6269.7882;63;MT0323000;15/10/1999;01/11/1999;;6;Desapropriação;17954;CONFRESA;PA SANTO ANTONIO DO FONTOURA II;92;
1250.5411;1253.9533;46;MT0609000;09/09/2002;18/08/2001;;3;Desapropriação;18070;SALTO DO CEU;PA CECILIA ANTUNES;44;
12043.0012;12043.9899;211;MT0237000;28/12/1998;28/12/1998;;3;Desapropriação;17919;VILA RICA;PA IPE;221;
12736.8911;12727.2335;128;MT0080000;15/08/1995;29/10/1984;;3;Desapropriação;4017;SERRA NOVA DOURADA;PA RONCADOR;141;
16833.1238;19680.3411;490;MT0240000;10/02/2000;10/12/1998;;3;Desapropriação;1733;SANTA CRUZ DO XINGU;PA SANTA CLARA;263;
39396.4482;39359.0158;400;MT0048000;23/03/1988;22/12/1986;;4;Desapropriação;17927;SANTA TEREZINHA;PA PRESIDENTE;309;
4390.3400;4397.0000;60;MT0754000;27/03/2006;27/03/2006;;3;Desapropriação;8670;SANTA RITA DO TRIVELATO;PA PONTE DE BARRO;29;
18112.8186;18096.6386;300;MT0332000;09/10/1999;14/12/1998;;4;Desapropriação;13280;SANTA TEREZINHA;PA REUNIDAS;240;
3311.9741;3306.6465;110;MT0347000;14/02/2000;12/05/1999;;3;Desapropriação;2082;SANTO ANTONIO DO LEVERGER;PA PONTAL DO GLÓRIA;110;
4596.1876;4595.3641;97;MT0269000;25/01/1999;25/01/1999;;3;Desapropriação;9855;SANTO ANTONIO DO LEVERGER;PA SANTANA DO TAQUARAL;97;
4205.5355;4205.7778;140;MT0705000;04/06/2004;23/06/2003;;4;Desapropriação;18034;VARZEA GRANDE;PA NOSSA SENHORA APARECIDA I;140;
345.2228;356.7353;17;MT0781000;23/11/2005;23/11/2005;;3;Desapropriação;5692;PEDRA PRETA;PA VISTA ALEGRE;17;
24090.7282;13114.0000;130;MT0085000;27/09/1995;19/12/1989;;3;Desapropriação;2045;SAO FELIX DO ARAGUAIA;PA CARNAÚBA;101;
30335.4221;30373.4969;650;MT0160000;14/10/1997;24/07/1996;;3;Desapropriação;17972;SAO FELIX DO ARAGUAIA;PA DOM PEDRO;459;
2757.1403;2754.0000;112;MT0322000;10/12/1999;14/07/1999;;3;Desapropriação;18044;SAO JOSE DO POVO;PA JOÃO PESSOA;109;
19866.8797;18904.3939;471;MT0259000;29/07/1999;19/11/1998;;3;Desapropriação;18028;SAO JOSE DO RIO CLARO;PA SANTANA DÁGUA LIMPA;398;
10604.7475;10605.7541;114;MT0083000;06/10/1995;31/12/1984;;4;Arrecadação;17907;SERRA NOVA DOURADA;PA SERRA NOVA II;80;
2766.8272;2767.0948;139;MT0062000;28/01/1994;28/01/1994;;3;Desapropriação;17958;TANGARA DA SERRA;PA TRIANGULO;120;
29834.6319;29844.7880;305;MT0139000;10/05/1996;10/05/1996;;6;Desapropriação;12939;SORRISO;PA PIRATININGA;303;
7465.2739;7459.5930;101;MT0188000;24/10/1997;24/11/1996;;6;Desapropriação;8612;TAPURAH;PA RIO BORGES;101;
38285.0195;38274.6251;502;MT0218000;26/11/1997;18/10/1996;;5;Desapropriação;13271;SINOP;PA WESLEY MANOEL DOS SANTOS;546;
7737.3719;7305.3365;447;MT0495000;17/12/2001;12/11/1999;;3;Desapropriação;18025;SORRISO;PA JONAS PINHEIRO;367;
1980.4984;1980.6709;66;MT0257000;13/10/1999;02/06/1998;;5;Desapropriação;18056;NOVO HORIZONTE DO NORTE;PA CARACOL;66;
8202.1776;7432.9527;81;MT0794000;03/11/2006;03/11/2006;;3;Desapropriação;4004;VILA BELA DA SANTISSIMA TRINDADE;PA SÃO PEDRO/CAMBARA;80;
34203.7471;34047.0000;351;MT0060000;12/08/1993;06/07/1993;;7;Compra e Venda;19115;TAPURAH;PA ELDORADO I;349;
21004.1420;21182.3958;357;MT0025000;21/05/1987;16/01/1979;;7;Arrecadação;458;TERRA NOVA DO NORTE;PA HIJ;357;
4725.5652;5003.5846;151;MT0221000;12/02/1998;09/06/1997;;3;Desapropriação;2425;VARZEA GRANDE;PA SADIA III;146;
14546.1996;13327.0500;241;MT0029000;28/05/1987;27/07/1986;;7;Desapropriação;12557;VILA BELA DA SANTISSIMA TRINDADE;PA FORMOSA;215;
13630.2665;14380.3072;180;MT0491000;28/11/2001;28/11/2001;;6;Desapropriação;4039;VILA BELA DA SANTISSIMA TRINDADE;PA GUAPORÉ;181;
2605.2498;2579.2192;69;MT0816000;15/08/2007;15/08/2007;;3;Compra e Venda;9849;VILA BELA DA SANTISSIMA TRINDADE;PA MIURA;69;
362.0819;363.0000;33;MT0147000;24/09/1996;24/10/1983;;6;Arrecadação;1834;VILA BELA DA SANTISSIMA TRINDADE;PA MORRINHO DO TARUMÃ;34;
6910.3945;5575.0000;133;MT0207000;20/11/1997;23/10/1996;;6;Desapropriação;18082;VILA BELA DA SANTISSIMA TRINDADE;PA RITINHA;133;
527.9645;500.0000;14;MT0176000;17/06/1997;13/02/1979;;4;Arrecadação;18081;VILA BELA DA SANTISSIMA TRINDADE;PA SÃO SEBASTIÃO;14;
2987.4294;2987.8515;43;MT0130000;29/12/1995;24/03/1995;;6;Desapropriação;17918;VILA RICA;PA ALVORADA;45;
2113.5643;2113.7504;45;MT0159000;05/12/1996;24/06/1996;;6;Desapropriação;17930;VILA RICA;PA ARACATY;43;
2264.2270;2286.9000;54;MT0457000;02/04/2001;21/12/1999;;3;Desapropriação;16026;SAO JOSE DO RIO CLARO;PA POUSO ALEGRE;54;
7509.4387;7523.3158;88;MT0030000;28/05/1987;26/06/1986;;3;Desapropriação;8609;ALTO ARAGUAIA;PA GATO PRETO;80;
14075.3272;14076.2053;256;MT0236000;28/12/1998;28/12/1998;;4;Desapropriação;17940;VILA RICA;PA SÃO JOSÉ DA VILA RICA;152;
3113.5611;2846.0000;50;MT0190000;13/11/1997;03/12/1996;;3;Desapropriação;9417;IPIRANGA DO NORTE;PA SANTA IRENE;47;
149870.7706;115050.0000;2530;MT0013000;30/03/1981;30/03/1981;;7;Arrecadação;11545;GUARANTA DO NORTE;PA BRAÇO SUL;1879;
11324.1296;11367.8253;217;MT0799000;15/12/2006;28/12/2005;;3;Desapropriação;9857;SANTA TEREZINHA;PA PORTO VELHO;166;
339.9531;330.9000;8;MT0789000;25/09/2006;25/09/2006;;3;Desapropriação;5679;JUINA;PA BOA ESPERANÇA I;0;
2896.9336;2927.0000;114;MT0275000;04/08/2000;19/08/2002;;3;Desapropriação;5127;MIRASSOL D'OESTE;PA SÃO SATURNINO;113;
10951.5686;11500.0000;326;MT0299000;10/02/2000;10/11/1999;;3;Desapropriação;8625;PONTES E LACERDA;PA TRIUNFO;325;
