id_snisb;nome;municipio_sede;regiao_saude;perfil_sanitario;idap;nivel;completude;confiabilidade;pontos_a;pontos_b;pontos_c;pontos_d;alertavel;area_estimada_km2;populacao_estimada;metodo_populacao;chuva_24h_mm;chuva_72h_mm;saturacao_antecedente;nivel_alerta_hidro;aproximacao_espacial;municipios_potencialmente_afetados;arquivo_alerta;resumo;instante
34732;BARRAGEM 1;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,0;1;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_34732.txt;BARRAGEM 1 (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
34734;BARRAGEM 3;Cuiabá;Baixada Cuiabana;rejeito;14;Amarelo;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_34734.txt;BARRAGEM 3 (Cuiabá) — IDAP 14/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
34857;Barragem I Jangada Agropastoril;Jangada;Baixada Cuiabana;rejeito;16;Verde;0,500;parcial;5;3;7;1;não;0,52;61;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Jangada | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_34857.txt;Barragem I Jangada Agropastoril (Jangada) — IDAP 16/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35000;Barragem 01 - Fazenda 3 Irmãos;Cuiabá;Baixada Cuiabana;rejeito;15;Amarelo;0,500;parcial;5;3;6;1;não;0,01;1;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_35000.txt;Barragem 01 - Fazenda 3 Irmãos (Cuiabá) — IDAP 15/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
35027;Barramento ? Fazenda Jardim;Cuiabá;Baixada Cuiabana;rejeito;14;Amarelo;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.7;0.7;0,2610;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/amarelo_35027.txt;Barramento ? Fazenda Jardim (Cuiabá) — IDAP 14/100 — Amarelo: atenção (elevado de Verde por regra determinística) — completude 50% (parcial);2026-07-30T09:58:09-04:00
35102;Barragem XVII;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,01;1;area_x_densidade;0.7;0.7;0,3070;laranja;sede_mais_montante_max;Cuiabá | Jangada | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35102.txt;Barragem XVII (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35106;Barragem VIII (principal);Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;14;Verde;0,500;parcial;5;3;5;1;não;0,0;;area_x_densidade;0.3;0.6;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35106.txt;Barragem VIII (principal) (Nossa Senhora do Livramento) — IDAP 14/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35107;Barragem VII (montante);Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,0;1;area_x_densidade;0.3;0.6;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35107.txt;Barragem VII (montante) (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35108;Barragem VI (montante);Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,01;2;area_x_densidade;0.3;0.6;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35108.txt;Barragem VI (montante) (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
35115;Barragem XIX;Nossa Senhora do Livramento;Baixada Cuiabana;rejeito;15;Verde;0,500;parcial;5;3;6;1;não;0,03;5;area_x_densidade;0.3;0.6;0,3070;laranja;sede_mais_montante_max;Cuiabá | Nossa Senhora do Livramento | Várzea Grande;alertas/piloto/verde_35115.txt;Barragem XIX (Nossa Senhora do Livramento) — IDAP 15/100 — Verde: normalidade — completude 50% (parcial);2026-07-30T09:58:09-04:00
